,symbol,exchange_rate,rate_date
0,EUR,0.950715,2024-12-04
1,JPY,150.061025,2024-12-04
2,GBP,0.787835,2024-12-04
3,AUD,1.551102,2024-12-04
4,CAD,1.406135,2024-12-04
5,INR,84.67575,2024-12-04
6,MXN,20.327099,2024-12-04
7,RUB,105.005609,2024-12-04
8,CNY,7.2723,2024-12-04

