,EUR,JPY,GBP,AUD,CAD,INR,MXN,RUB,CNY
count,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0
mean,0.8632052213114754,105.94497468579233,0.7731438551912567,1.422827885245902,1.333720043715847,74.47082896174864,21.703992098360654,74.19464385519125,6.821610144808744
std,0.035224872471806015,1.683091947863772,0.03194063480430939,0.10612711750234555,0.04816026324711027,1.192474332638335,1.47578299729477,2.7537562231046087,0.24054124181838837
min,0.810403,102.678985,0.706851,1.253898,1.251045,72.175011,19.419942,66.214598,6.427604
25%,0.8357207499999999,104.6160195,0.74889,1.35373,1.2985675,73.531175,20.25666375,73.07403525,6.563037250000001
50%,0.84976,105.85949600000001,0.772104,1.3988019999999999,1.3275825,74.2638235,21.6833775,74.158658,6.8570495000000005
75%,0.891411,107.21939125,0.799872,1.493458,1.3633950000000001,75.50178675000001,22.5328705,75.99277425,7.0653974999999996
max,0.938435,111.297994,0.87017,1.741902,1.45002,77.605036,25.351202,80.954994,7.169301
